Date,Name,Counter_No,Counter_No_Service_Rating,Feedback Description,Sentiment
01-12-2024 10:52,ashish nalawade,Counter_1,3,overall services is good,Positive
01-01-2024 05:23,Taran Andra,Counter_4,3,The staff was very courteous and helpful.,Positive
01-01-2024 07:02,Yuvaan Kakar,Counter_3,5,"Service was fast and efficient, I'm impressed.",Positive
02-01-2024 02:07,Kiaan Chaudry,Counter_3,4,The post office is always clean and well-organized.,Positive
02-01-2024 22:43,Rasha Randhawa,Counter_1,5,"I received my parcel earlier than expected, great job!",Positive
03-01-2024 23:34,Nirvi Andra,Counter_4,1,The process for obtaining a new postal card was seamless.,Positive
04-01-2024 05:24,Riya Ramanathan,Counter_3,1,The customer support team resolved my issue quickly.,Positive
04-01-2024 12:19,Indranil Sandal,Counter_1,2,I appreciate the extended working hours on weekends.,Neutral
04-01-2024 13:29,Ivana Dar,Counter_2,2,The staff was very polite and addressed all my queries.,Positive
04-01-2024 22:19,Rania Chana,Counter_2,3,I found the location very convenient and accessible.,Positive
05-01-2024 14:44,Mishti Johal,Counter_4,1,Online tracking was accurate and easy to use.,Positive
06-01-2024 07:27,Kiara Rau,Counter_4,4,The queue was too long and moved very slowly.,Negative
08-01-2024 08:16,Zoya Srivastava,Counter_2,4,The staff was rude and unhelpful during my visit.,Negative
09-01-2024 01:38,Myra Randhawa,Counter_2,4,"I had to wait weeks for my parcel, unacceptable!",Neutral
09-01-2024 06:00,Hrishita Aggarwal,Counter_1,0,The post office was messy and unorganized.,Negative
09-01-2024 10:49,Heer Mahajan,Counter_1,2,There was no one to guide me when I needed help.,Neutral
09-01-2024 14:14,Kartik Viswanathan,Counter_1,4,The online tracking system was not working properly.,Neutral
10-01-2024 19:21,Onkar Bhakta,Counter_1,3,I had to visit multiple times due to incomplete information.,Negative
12-01-2024 00:21,Krish Doctor,Counter_4,1,The customer service team was unresponsive to my complaints.,Neutral
12-01-2024 17:04,Dhanuk Choudhry,Counter_1,1,The counters were closed even during working hours.,Negative
13-01-2024 21:57,Romil Bajwa,Counter_3,3,The staff did not know how to resolve my issue.,Neutral
14-01-2024 02:59,Jivika Balakrishnan,Counter_1,2,"The service was satisfactory, nothing exceptional.",Positive
14-01-2024 03:22,Uthkarsh Toor,Counter_3,2,It was a regular visit with no major issues.,Negative
14-01-2024 16:11,Piya Mandal,Counter_4,1,"I got my work done, but it took some time.",Neutral
15-01-2024 05:35,Kashvi Keer,Counter_1,4,The staff was neither helpful nor unhelpful.,Neutral
16-01-2024 08:55,Dharmajan Dugar,Counter_2,1,The post office was moderately busy during my visit.,Positive
16-01-2024 12:48,Dhanush Raval,Counter_4,0,"The environment was average, with scope for improvement.",Negative
17-01-2024 02:00,Adira Tak,Counter_1,4,Online services could be better but are manageable.,Positive
17-01-2024 05:40,Rohan Biswas,Counter_3,3,I found the experience to be acceptable overall.,Neutral
17-01-2024 08:55,Dhruv Sane,Counter_3,4,The speed of service was just about average.,Negative
17-01-2024 13:03,Shaan Kaur,Counter_1,4,"I had no strong feelings about the visit, it was okay.",Positive
17-01-2024 14:11,Vardaniya Kata,Counter_2,5,The counters were well-staffed and quick to serve.,Positive
17-01-2024 19:34,Adira Tailor,Counter_2,4,My package arrived on time with no issues.,Neutral
17-01-2024 22:56,Raghav Shanker,Counter_1,5,I had a smooth experience with sending a letter abroad.,Positive
18-01-2024 00:56,Riaan Sarna,Counter_4,3,The new digital services are very convenient.,Positive
19-01-2024 03:28,Arhaan Sachdev,Counter_4,3,I was able to easily purchase stamps and send my parcel.,Positive
19-01-2024 04:03,Madhup Buch,Counter_2,3,The staff at the counter were friendly and welcoming.,Positive
19-01-2024 07:38,Amani Korpal,Counter_1,0,It was easy to access the post office and park nearby.,Positive
19-01-2024 12:42,Anahi Shenoy,Counter_4,1,The self-service kiosk was quick and efficient.,Positive
20-01-2024 05:05,Amira Korpal,Counter_4,3,My experience was very pleasant with no delays.,Positive
21-01-2024 04:39,Ranbir Dube,Counter_2,4,The post office was clean and had clear signage.,Positive
22-01-2024 05:22,Manikya Varghese,Counter_1,0,I received regular updates about my parcel status.,Neutral
22-01-2024 12:58,Stuvan Varkey,Counter_2,3,It was a bit difficult to find parking near the post office.,Negative
22-01-2024 15:03,Jayesh Bakshi,Counter_4,0,The staff took too long to process my request.,Negative
23-01-2024 19:34,Rhea Chatterjee,Counter_1,2,I had to wait a long time before I could speak to someone.,Negative
25-01-2024 02:58,Samiha Sodhi,Counter_2,0,The office was too noisy and chaotic during my visit.,Neutral
26-01-2024 08:27,Lavanya Vyas,Counter_2,1,I was impressed by the professionalism of the staff.,Positive
27-01-2024 03:33,Jivin Sarraf,Counter_2,4,The location was a bit inconvenient to reach.,Negative
27-01-2024 14:12,Adira Sanghvi,Counter_2,2,"I had to fill out several forms, which took longer than expected.",Negative
27-01-2024 19:44,Shayak Kala,Counter_3,0,I wish the post office had more counters open during peak hours.,Positive
27-01-2024 23:57,Urvi Dugar,Counter_4,0,The staff were knowledgeable and efficient in helping me.,Neutral
28-01-2024 09:26,Kavya Rana,Counter_3,1,There was no clear signage to guide me inside.,Negative
30-01-2024 18:15,Biju Yohannan,Counter_1,5,The queue system was well-organized and easy to follow.,Positive
31-01-2024 10:33,Kaira Dey,Counter_4,4,The office was too cold for comfort during my visit.,Negative
01-02-2024 01:50,Aradhya Dhillon,Counter_2,2,The staff handled my issue with great care and attention.,Positive
01-02-2024 09:32,Diya Bala,Counter_2,5,I had difficulty understanding the online services.,Neutral
01-02-2024 10:40,Adira Tella,Counter_4,3,The transaction was completed swiftly with no delays.,Neutral
01-02-2024 10:49,Alisha Gupta,Counter_3,2,I wasn�t able to send my package because the staff wasn�t available.,Positive
02-02-2024 06:55,Yashvi Cheema,Counter_3,1,The waiting area was clean but lacked seating options.,Positive
03-02-2024 00:21,Adah Vala,Counter_1,5,I encountered some technical issues while trying to send money.,Neutral
03-02-2024 05:38,Mahika Dua,Counter_2,2,The staff was efficient but could have been friendlier.,Neutral
03-02-2024 09:16,Dhanush Savant,Counter_3,5,I appreciate the new digital systems that make my visits faster.,Positive
03-02-2024 19:56,Tarini Khurana,Counter_1,1,I had an unpleasant experience because my parcel was damaged.,Negative
04-02-2024 15:07,Ahana  Keer,Counter_3,0,The staff was overwhelmed and could not assist me properly.,Neutral
04-02-2024 19:10,Mahika Kala,Counter_4,4,I found the service to be very satisfactory and reliable.,Positive
05-02-2024 22:56,Drishya Chahal,Counter_4,0,The staff could be more helpful when answering questions.,Positive
07-02-2024 00:42,Tushar Shah,Counter_2,0,It was difficult to find the post office location.,Negative
08-02-2024 16:23,Tejas Kuruvilla,Counter_3,1,"The service was faster than expected, very happy with the experience.",Positive
09-02-2024 02:05,Shlok Sastry,Counter_3,3,"I had to wait a long time, but the staff were polite.",Negative
09-02-2024 20:41,Bhamini Deshmukh,Counter_3,1,The self-service kiosks are a great addition.,Positive
09-02-2024 20:53,Tushar Dubey,Counter_2,5,The customer service line was very helpful in resolving my issue.,Positive
10-02-2024 15:23,Drishya Mallick,Counter_4,5,I was pleased with the way my parcel was packaged.,Positive
11-02-2024 00:05,Charvi Khurana,Counter_4,0,The staff didn't seem to know how to handle my request.,Neutral
11-02-2024 03:15,Zara Dhar,Counter_4,3,The overall process felt too complicated and took too long.,Negative
11-02-2024 10:58,Purab Kulkarni,Counter_3,1,I found the post office to be very convenient and efficient.,Positive
12-02-2024 11:48,Farhan Chowdhury,Counter_4,0,The website could use some improvements to make it easier to navigate.,Neutral
13-02-2024 09:54,Biju Contractor,Counter_1,2,There was no one available to assist with international shipments.,Positive
13-02-2024 11:07,Bhavin Kothari,Counter_1,1,"The counters were understaffed, causing delays.",Neutral
13-02-2024 19:19,Gatik Luthra,Counter_2,3,The staff were welcoming and eager to help.,Neutral
13-02-2024 20:46,Farhan Dani,Counter_4,3,The post office had a pleasant atmosphere and was easy to navigate.,Positive
14-02-2024 00:48,Lagan Dave,Counter_3,2,I was impressed by the variety of services offered at the post office.,Positive
15-02-2024 21:24,Anaya Majumdar,Counter_3,5,I experienced a lot of delays in receiving my mail.,Positive
15-02-2024 22:01,Faiyaz Bala,Counter_4,5,The queue system could be improved to avoid confusion.,Neutral
16-02-2024 10:45,Reyansh Joshi,Counter_2,1,I received quick and accurate assistance from the staff.,Positive
18-02-2024 19:49,Rhea Bedi,Counter_2,4,"The overall experience was fine, but could use some improvements.",Positive
19-02-2024 11:10,Ritvik Kala,Counter_4,4,I was not satisfied with the quality of service received.,Negative
20-02-2024 00:50,Piya Chhabra,Counter_2,4,I found the service to be very helpful and easy to use.,Positive
20-02-2024 08:24,Veer Lalla,Counter_3,2,There was no clear direction about the process for mailing packages.,Negative
20-02-2024 20:18,Tejas Manne,Counter_3,0,The post office was too crowded for comfort.,Neutral
21-02-2024 19:17,Miraan Kothari,Counter_4,4,I was able to send my package with ease and without any problems.,Positive
22-02-2024 00:05,Nirvi Singhal,Counter_3,3,I was disappointed that the post office was closed during lunch hours.,Negative
22-02-2024 01:37,Jivin Chand,Counter_2,5,"The service was average, with no major issues or highlights.",Negative
22-02-2024 20:51,Kabir Saran,Counter_1,3,I would recommend the post office for its consistent service.,Positive
24-02-2024 18:15,Madhav Boase,Counter_2,2,"The delivery was fast, but the staff could be more polite.",Positive
25-02-2024 03:21,Divit Doctor,Counter_1,3,"I had a smooth and efficient experience, no issues at all.",Positive
25-02-2024 03:50,Vivaan Gokhale,Counter_3,2,The staff was quick to address my concerns and resolve the issue.,Positive
25-02-2024 11:14,Kiaan Yohannan,Counter_3,5,The post office is easily accessible and located conveniently.,Positive
26-02-2024 01:16,Ishita Tak,Counter_3,3,I would like to see more staff available during peak hours.,Positive
26-02-2024 20:40,Indranil Bhasin,Counter_3,2,I was able to get all my work done without any issues.,Positive
27-02-2024 19:02,Lavanya Mani,Counter_1,1,The service could have been faster during my visit.,Neutral
27-02-2024 23:45,Ritvik Uppal,Counter_2,2,"The experience was mostly positive, with a few small issues.",Negative
29-02-2024 19:31,Hridaan Borra,Counter_4,3,The staff was very courteous and helpful.,Positive
02-03-2024 02:38,Indranil Zachariah,Counter_3,4,"Service was fast and efficient, I'm impressed.",Positive
02-03-2024 09:27,Amani Dutt,Counter_1,5,The post office is always clean and well-organized.,Positive
02-03-2024 12:06,Vivaan Shukla,Counter_4,0,"I received my parcel earlier than expected, great job!",Positive
02-03-2024 22:32,Manikya Bhavsar,Counter_4,3,The process for obtaining a new postal card was seamless.,Positive
03-03-2024 21:30,Samiha Kurian,Counter_1,4,The customer support team resolved my issue quickly.,Positive
05-03-2024 08:15,Riaan Karan,Counter_1,5,I appreciate the extended working hours on weekends.,Neutral
05-03-2024 10:04,Navya Loyal,Counter_3,5,The staff was very polite and addressed all my queries.,Positive
05-03-2024 11:44,Nirvi Ghosh,Counter_2,3,I found the location very convenient and accessible.,Positive
06-03-2024 14:47,Madhup Wali,Counter_3,2,Online tracking was accurate and easy to use.,Positive
09-03-2024 07:53,Khushi Saran,Counter_2,4,The queue was too long and moved very slowly.,Negative
11-03-2024 06:04,Siya Sami,Counter_2,5,The staff was rude and unhelpful during my visit.,Negative
11-03-2024 21:33,Chirag Sachdev,Counter_1,0,"I had to wait weeks for my parcel, unacceptable!",Neutral
12-03-2024 20:07,Nakul Kata,Counter_1,5,The post office was messy and unorganized.,Negative
13-03-2024 02:43,Fateh Khare,Counter_3,4,There was no one to guide me when I needed help.,Neutral
13-03-2024 08:02,Madhav Trivedi,Counter_3,1,The online tracking system was not working properly.,Neutral
13-03-2024 22:43,Renee Bal,Counter_3,2,I had to visit multiple times due to incomplete information.,Negative
14-03-2024 11:06,Yuvraj  Kapoor,Counter_2,1,The customer service team was unresponsive to my complaints.,Neutral
14-03-2024 21:25,Saanvi Soman,Counter_3,4,The counters were closed even during working hours.,Negative
15-03-2024 02:12,Yasmin Bakshi,Counter_4,3,The staff did not know how to resolve my issue.,Neutral
15-03-2024 06:45,Ritvik Kala,Counter_3,2,"The service was satisfactory, nothing exceptional.",Positive
15-03-2024 19:08,Ranbir Sani,Counter_4,1,It was a regular visit with no major issues.,Negative
15-03-2024 23:12,Vanya Hayer,Counter_3,5,"I got my work done, but it took some time.",Neutral
17-03-2024 04:38,Ayesha Khosla,Counter_1,4,The staff was neither helpful nor unhelpful.,Neutral
17-03-2024 05:38,Miraya Srivastava,Counter_2,3,The post office was moderately busy during my visit.,Positive
17-03-2024 07:02,Dhanuk Sagar,Counter_3,2,"The environment was average, with scope for improvement.",Negative
17-03-2024 14:51,Shanaya Sheth,Counter_1,0,Online services could be better but are manageable.,Positive
18-03-2024 06:49,Faiyaz Sehgal,Counter_3,3,I found the experience to be acceptable overall.,Neutral
18-03-2024 22:47,Amira Gera,Counter_3,2,The speed of service was just about average.,Negative
19-03-2024 14:02,Shanaya Gopal,Counter_2,3,"I had no strong feelings about the visit, it was okay.",Positive
20-03-2024 05:43,Aaina Magar,Counter_4,0,The counters were well-staffed and quick to serve.,Positive
20-03-2024 08:28,Neelofar Dara,Counter_3,2,My package arrived on time with no issues.,Neutral
20-03-2024 15:07,Nitara Krish,Counter_1,0,I had a smooth experience with sending a letter abroad.,Positive
20-03-2024 17:38,Vaibhav Warrior,Counter_3,3,The new digital services are very convenient.,Positive
22-03-2024 07:56,Yuvaan Kapadia,Counter_2,0,I was able to easily purchase stamps and send my parcel.,Positive
22-03-2024 09:07,Aarush Mallick,Counter_1,3,The staff at the counter were friendly and welcoming.,Positive
22-03-2024 20:31,Hunar Krishnamurthy,Counter_1,3,It was easy to access the post office and park nearby.,Positive
22-03-2024 22:17,Yasmin Ganesh,Counter_3,1,The self-service kiosk was quick and efficient.,Positive
23-03-2024 06:02,Diya Shroff,Counter_4,2,My experience was very pleasant with no delays.,Positive
23-03-2024 10:02,Tushar Balasubramanian,Counter_2,5,The post office was clean and had clear signage.,Positive
23-03-2024 13:58,Rasha Mammen,Counter_3,0,I received regular updates about my parcel status.,Neutral
24-03-2024 05:43,Alia Cherian,Counter_2,5,It was a bit difficult to find parking near the post office.,Negative
24-03-2024 11:48,Myra Samra,Counter_3,5,The staff took too long to process my request.,Negative
24-03-2024 13:52,Tiya Saini,Counter_3,5,I had to wait a long time before I could speak to someone.,Negative
24-03-2024 21:05,Raunak Trivedi,Counter_1,4,The office was too noisy and chaotic during my visit.,Neutral
25-03-2024 03:05,Nayantara Krishna,Counter_1,0,I was impressed by the professionalism of the staff.,Positive
25-03-2024 08:01,Samaira Thaman,Counter_3,5,The location was a bit inconvenient to reach.,Negative
25-03-2024 11:23,Neysa Sandhu,Counter_4,1,"I had to fill out several forms, which took longer than expected.",Negative
